breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,-19.0,-29.0,-14.5,0.0007223591232603234,4.737635233782339e-06
pbli,90,-17.0,-29.0,-14.5,0.0007329930622382122,4.52843284452138e-06
pbli,90,-15.0,-29.0,-14.5,0.0007532813872855708,5.131774872861887e-06
pbli,90,-13.0,-29.0,-14.5,0.0007537147551327352,4.936887087325443e-06
pbli,90,-11.0,-29.0,-14.5,0.0007525722060746622,4.073215365869176e-06
pbli,90,-9.0,-29.0,-14.5,0.0007690531782571781,4.235420505427977e-06
pbli,90,-7.0,-29.0,-14.5,0.0007646364241190005,4.842802027891689e-06
pbli,90,-5.0,-29.0,-14.5,0.0007677562251228457,5.37472047530507e-06
pbli,90,-3.0,-29.0,-14.5,0.000767396248292217,4.792081322189889e-06
pbli,90,-1.0,-29.0,-14.5,0.0007742180737979926,4.45426426617125e-06
pbli,90,1.0,-29.0,-14.5,0.0007729619785035764,4.535966504918606e-06
pbli,90,3.0,-29.0,-14.5,0.0007698322965183614,4.730270415710528e-06
pbli,90,5.0,-29.0,-14.5,0.0007623217013261975,4.688168479009921e-06
pbli,90,7.0,-29.0,-14.5,0.0007681733155985474,4.710052132162791e-06
pbli,90,9.0,-29.0,-14.5,0.0007596291488243706,5.161142331634478e-06
pbli,90,11.0,-29.0,-14.5,0.000753055838587176,4.557812837860721e-06
pbli,90,13.0,-29.0,-14.5,0.0007487114208679585,4.145238127256405e-06
pbli,90,15.0,-29.0,-14.5,0.0007413035299580708,4.747252760742838e-06
pbli,90,17.0,-29.0,-14.5,0.0007266459142515121,4.780179043214478e-06
pbli,90,19.0,-29.0,-14.5,0.0007230462500694612,4.866416631357013e-06
pbli,90,21.0,-29.0,-14.5,0.0007191236713597225,4.606195850448758e-06
pbli,90,23.0,-29.0,-14.5,0.0007021592149862294,4.363189050960167e-06
pbli,90,25.0,-29.0,-14.5,0.0006935912132185909,4.030159398316848e-06
pbli,90,27.0,-29.0,-14.5,0.0006778946242130896,4.2345248769272435e-06
pbli,90,29.0,-29.0,-14.5,0.0006571801778165558,4.118588181448015e-06
pbli,90,31.0,-29.0,-14.5,0.0006393463959012902,3.97496070573344e-06
pbli,90,33.0,-29.0,-14.5,0.0005935230717084866,4.082148272435109e-06
pbli,90,35.0,-29.0,-14.5,0.0005607175346250076,3.188193311048239e-06
pbli,90,37.0,-29.0,-14.5,0.0005131362952461244,3.7448176363569123e-06
pbli,90,39.0,-29.0,-14.5,0.00045385855371159395,3.875442990793722e-06
pbli,90,-39.0,-27.0,-14.5,0.0004696295362667325,4.0558607869326005e-06
pbli,90,-37.0,-27.0,-14.5,0.0005254552155604588,3.945773461111974e-06
pbli,90,-35.0,-27.0,-14.5,0.0005770603142017941,4.236107058532155e-06
pbli,90,-33.0,-27.0,-14.5,0.0006202296248127856,4.599670330208685e-06
pbli,90,-31.0,-27.0,-14.5,0.0006447931859980421,3.906180102090668e-06
pbli,90,-29.0,-27.0,-14.5,0.0006691668581146983,4.269847008447356e-06
pbli,90,-27.0,-27.0,-14.5,0.0007025655588364413,4.454128133408177e-06
pbli,90,-25.0,-27.0,-14.5,0.0007122788757729697,4.330270495948436e-06
pbli,90,-23.0,-27.0,-14.5,0.0007299693721392659,5.172329110801793e-06
pbli,90,-21.0,-27.0,-14.5,0.0007381349288125426,5.077455347213859e-06
pbli,90,-19.0,-27.0,-14.5,0.0007494164757886325,4.738665664589844e-06
pbli,90,-17.0,-27.0,-14.5,0.0007657607251314818,4.6522682596572e-06
pbli,90,-15.0,-27.0,-14.5,0.0007674072420523494,5.244864919144984e-06
